132,127,118,120,116,119,119,118,121,120,120,118,120,122,119,123,120,119,116,120,121,120,122,118,119,119,117,118,120,120,
271,267,243,241,241,243,243,243,243,244,245,243,242,244,248,245,244,243,239,243,246,246,247,244,244,241,242,243,242,244,
1 KB,405,402,376,375,374,379,374,375,375,375,375,373,375,376,382,377,376,377,376,377,376,377,378,377,377,374,375,377,377,377,
2 KB,559,552,525,522,524,530,520,524,525,522,523,523,522,523,527,524,526,525,526,527,523,523,527,523,524,523,527,527,525,525,
4 KB,749,734,706,702,706,711,704,704,706,703,707,707,703,704,704,707,709,707,705,707,704,707,710,706,705,699,708,707,704,708,
8 KB,1006,995,955,952,953,962,953,952,956,953,954,957,950,953,947,957,958,955,951,952,954,955,961,952,956,950,955,959,952,955,
16 KB,1398,1383,1342,1341,1342,1351,1341,1341,1342,1342,1345,1344,1338,1339,1336,1347,1361,1344,1339,1340,1342,1342,1347,1340,1341,1338,1341,1346,1340,1341,
32 KB,2160,2137,2096,2095,2095,2104,2095,2095,2097,2092,2097,2096,2091,2090,2088,2097,2112,2101,2093,2092,2094,2096,2101,2094,2091,2089,2096,2098,2091,2097,
64 KB,3439,3406,3367,3362,3362,3369,3361,3360,3362,3358,3366,3366,3356,3355,3357,3364,3378,3366,3357,3362,3360,3361,3368,3362,3358,3360,3364,3363,3359,3368,
128 KB,5748,5701,5659,5656,5652,5663,5655,5649,5651,5648,5657,5655,5647,5645,5652,5654,5667,5652,5644,5655,5651,5650,5656,5652,5648,5652,5655,5655,5651,5659,
256 KB,10102,10044,10000,9993,9988,10003,9991,9986,9988,9985,9995,9992,9987,9982,9987,9992,10008,9989,9987,9994,9989,9984,9993,9989,9986,9988,9992,9993,9991,9998,
512 KB,18546,18481,18434,18430,18424,18438,18426,18426,18423,18419,18430,18426,18421,18418,18422,18429,18439,18425,18422,18427,18425,18418,18426,18423,18421,18421,18426,18428,18426,18431,
1 MB,35183,35110,35061,35069,35056,35074,35056,35053,35056,35049,35072,35066,35058,35049,35057,35058,35075,35063,35052,35059,35065,35046,35060,35062,35058,35050,35060,35071,35063,35067,
2 MB,68252,68135,68080,68092,68083,68096,68076,68087,68080,68069,68099,68096,68078,68074,68081,68079,68101,68086,68072,68078,68086,68075,68080,68089,68078,68067,68082,68096,68086,68094,
4 MB,134180,133961,133894,133906,133903,133909,133904,133905,133896,133882,133912,133917,133890,133891,133890,133892,133916,133901,133884,133892,133905,133895,133895,133901,133891,133894,133900,133911,133910,133911,
8 MB,265823,265604,265534,265542,265554,265549,265537,265538,265528,265516,265546,265552,265522,265524,265528,265528,265553,265535,265514,265526,265541,265532,265533,265536,265526,265544,265531,265547,265543,265543,
16 MB,528795,528571,528503,528510,528536,528529,528507,528504,528490,528484,528511,528516,528489,528491,528493,528492,528529,528512,528495,528491,528505,528498,528494,528504,528489,528507,528492,528509,528510,528514,
32 MB,1054444,1054217,1054147,1054149,1054189,1054180,1054144,1054142,1054149,1054124,1054153,1054152,1054137,1054142,1054132,1054142,1054164,1054150,1054139,1054124,1054139,1054144,1054143,1054143,1054117,1054154,1054126,1054146,1054170,1054165,
64 MB,2105422,2105210,2105139,2105149,2105188,2105168,2105134,2105125,2105134,2105112,2105153,2105135,2105124,2105124,2105119,2105128,2105142,2105139,2105125,2105129,2105124,2105127,2105121,2105123,2105105,2105143,2105106,2105129,2105150,2105149,
128 MB,4207125,4206874,4206813,4206824,4206867,4206843,4206819,4206799,4206817,4206790,4206855,4206811,4206791,4206823,4206792,4206812,4206813,4206829,4206801,4206828,4206796,4206810,4206799,4206802,4206775,4206828,4206783,4206795,4206832,4206833,
